P1,P2,P3,X,Y
0.13,0.0,0.19,-0.5810504186973603,0.7809181472465964
0.0,1.32,1.62,-2.155678095249911,3.53253881156603
0.06,0.0,1.64,-4.128741307401413,2.6024284699378595
1.41,0.0,0.33,-1.5202398115662705,-1.534768802015909
1.78,1.65,0.0,0.9284925198023929,-3.594058816333868
0.91,0.0,1.72,-4.421834382025959,1.1535382817688629
0.03,1.21,0.0,0.498628364217384,1.1749767070880741
0.0,1.7,0.0,2.2888331510078115,1.0975123177888324
0.48,0.0,1.19,-2.2881756324907636,1.8264744181267167
0.8,0.0,0.27,-1.0658034175503461,0.003702550119992768
0.0,0.0,0.34,-0.6666415789780329,0.8628848267279422
0.21,0.0,1.68,-4.321281502583928,2.58086920360703
0.0,1.52,0.49,1.0385631679441991,2.1200536173204907
0.39,1.32,0.0,1.1912297972846624,1.0561084325359085
0.73,0.0,0.0,-0.1789551780025349,-0.016464665471772104
1.32,0.0,0.0,-0.935410177264141,-1.437676310421457
1.1,0.34,0.0,-0.7153833835195006,-1.2584208189815917
0.0,1.03,1.09,-0.7704380319863513,2.0713605144800487
0.61,1.79,0.0,2.6463703750215406,0.3840004428970333
0.01,0.39,0.0,-0.06744077784354906,0.5436816907370752
0.0,1.03,0.33,0.2700750536362404,1.2040513250390934
1.09,1.47,0.0,2.1548852422953675,-0.5751050486656628
0.32,0.0,0.21,-0.33042420696351477,0.6262740736700175
0.18,1.51,0.0,1.8232313113062202,1.0318365373327896
0.36,0.29,0.0,0.03353657139979543,0.5339123807425817
0.46,0.0,1.17,-1.9405018583769045,1.498114138167441
0.0,0.94,1.4,-2.2419466224628013,2.831077409676093
0.0,1.57,0.87,0.7216977871709803,2.1976371041466285
0.0,0.43,0.82,-0.9395363904904601,1.7659131858384627
0.0,0.16,1.72,-4.395595067623685,2.975728552844493
0.31,0.0,1.78,-5.125212669982582,2.5902203242957333
0.0,0.12,0.59,-1.7543474997321653,1.5557351301276603
0.83,0.26,0.0,-0.7172876365671499,0.0222566606975862
1.51,0.0,1.21,-2.8640913526767013,-0.7598894643526453
1.04,1.58,0.0,1.643536010982587,-0.9863893764596938
0.0,1.54,0.9,1.1593069827494475,1.5082290717535307
0.6,0.0,1.06,-1.9057495203606123,1.2016295969057924
1.3,1.7,0.0,2.2027491013013654,-1.4493937559150263
0.0,0.0,1.49,-3.3236294875882666,2.1929044769382995
0.54,0.0,0.52,-1.3407908387583973,1.054755490177916
1.55,1.8,0.0,2.207632233224369,-2.430231568282289
1.15,0.0,0.96,-1.8782675930778332,-0.881330838312971
0.22,0.0,1.76,-4.662312516709358,2.4546127215602773
0.0,1.38,0.44,0.7099244971056037,2.091858169440594
1.47,0.56,0.0,-0.3212007201606346,-1.883303572243067
0.0,1.78,0.9,1.646469279738327,2.1463520573702404
0.51,0.74,0.0,0.15958268672165538,0.5609202217777273
0.88,0.0,0.98,-1.8994585456002548,0.5485639179299079
1.39,0.0,0.96,-2.224772389400517,-0.9363611550730562
0.0,1.05,0.99,-0.887885539216144,1.9334454784073651
0.28,1.45,0.0,1.5557546710283356,1.0277542209568271
1.11,0.0,0.0,-0.4724814920504513,-0.8445298612826719
0.52,0.0,1.49,-3.535713169183233,1.9793419534652954
1.35,0.0,0.0,-1.2871821469123084,-1.6014169499037216
0.0,1.66,1.09,0.6410185412326367,2.4258664192831945
0.6,0.0,1.0,-1.9564421952701692,1.2414688483259766
0.0,0.16,0.12,-0.7356092400550232,0.9919645185162154
0.03,0.34,0.0,-0.6153052034719172,0.7854821024738501
0.99,0.0,0.73,-1.5353560693053319,-0.00044652379231057554
0.0,0.95,0.02,0.06725927435786322,0.6506424568913395
1.75,0.0,1.58,-3.703742707868654,-1.3613760577077625
0.0,0.18,0.37,-0.871070698622571,0.6457813282585885
0.0,1.29,0.0,1.017173240022911,1.3253400717029353
0.0,0.51,1.4,-2.5090410893142594,2.431461444123528
0.0,0.75,1.54,-3.0634189042143087,2.9916832593405367
0.56,0.0,0.22,-1.0838266512913128,0.6537741079298872
0.0,0.37,0.0,-0.6481252022897718,0.6504118075284396
0.0,0.56,0.91,-1.0969364174724061,1.9118811592190117
1.3,1.22,0.0,0.9891021099806949,-1.4387624738146565
0.0,0.73,0.19,0.15494834782251377,0.24722757336214016
1.28,0.39,0.0,-0.31291293611692333,-1.4703162846436997
0.0,0.86,1.16,-1.2952825889924353,1.9007926876802563
