P4,P5,P6,X,Y
0.0,1.11,0.09,-0.36518682116041684,-0.17817623124959853
1.0,0.68,0.0,0.05567522606081075,-0.2348340984660036
0.0,0.23,0.0,-0.2600902246696088,-0.9529074419238284
1.25,0.78,0.0,0.15581869260487166,-0.33851812873753806
0.0,1.24,0.0,-0.332125457283748,-0.19816253763735125
1.27,0.13,0.0,0.1298224748489054,-0.42097424074587775
0.31,0.0,1.44,-0.2823273129829286,-0.9654183943212229
0.0,1.11,1.25,-0.18209938389799313,-0.7173589224681555
0.0,0.47,0.01,-0.2370528644194289,-0.2846767222285548
0.37,0.68,0.0,-0.1820398276523421,-0.2467154343650921
1.25,0.98,0.0,0.24427564182496353,-0.7089515650477981
0.0,0.28,1.26,-0.4353952336484417,-0.4803189625484332
0.0,1.75,0.27,-0.0761100382877926,-0.3299503623608423
1.71,1.68,0.0,0.1532858249689432,-0.36561180033992124
0.79,0.0,0.0,-0.07716818672000464,-0.593486224525716
0.44,0.0,0.69,-0.39582600222133535,-0.40613960545231387
0.0,1.6,1.44,-0.2537998461100377,-0.8690033593343682
0.0,1.11,1.53,-0.4192692268290459,-0.7202062394465276
1.11,0.98,0.0,0.05582795393741388,-0.4550319850764527
0.46,0.0,0.43,-0.1553393509080694,-0.6603895099044514
0.0,1.18,0.0,-0.1608721586330834,-0.17186595565317153
1.43,0.0,1.41,-0.1636102622646763,-1.2138662263893805
0.35,0.0,1.02,-0.35579479082344356,-0.5865151944514935
1.16,0.0,0.0,-0.061590903783615966,-0.4957200698280808
0.0,1.8,1.46,-0.3655486847344942,-0.5784648908877967
0.29,0.0,0.0,-0.31137378035313695,-0.7307218793198311
0.0,0.76,0.13,-0.34852918221669915,-0.5817263468902623
0.0,0.87,0.33,-0.3603484554224467,-0.2436724528967161
0.0,1.25,0.08,-0.14524260023602723,-0.20760294104612392
0.26,0.0,0.0,-0.3650225719337653,-0.4864310769412955
0.0,0.0,0.96,-0.41739684789550113,-0.3077887498623596
1.39,0.0,0.82,-0.3119467142936779,-0.6971723803351739
1.43,0.73,0.0,0.19067344884288256,-0.5213026645437834
0.0,0.85,0.0,-0.29729157930361555,-0.32998430838275034
1.74,1.66,0.0,-0.013207546811488925,-0.2166504025117741
0.02,0.0,0.0,-0.304054314886709,-0.6598399376762794
0.07,0.0,0.0,-0.3042607852612522,-0.5231411453561406
0.0,0.66,0.44,-0.28450613376233863,-0.6012806755984346
0.51,1.52,0.0,0.08357547373441118,-0.3859068280157691
0.0,1.4,0.21,-0.1663596970496709,-0.32132760115700953
0.0,0.38,0.0,-0.3737095292198842,-0.22922104667054458
1.58,0.0,1.15,0.05452919979631334,-1.0708309583880902
0.0,0.1,1.39,-0.4262645304233514,-0.7928585764417216
0.0,1.44,0.81,-0.2538948781785631,-0.5297869820030789
0.31,0.58,0.0,-0.1530028193431475,-0.5276221482352971
0.0,1.7,0.0,-0.11309622542600106,-0.2783198122326469
1.21,0.0,1.45,-0.24002923504827525,-0.9653675756091322
0.0,0.0,0.63,-0.2422531430222081,-0.6943180640838977
0.0,1.01,0.4,-0.17647423615224533,-0.3656102361778441
1.19,0.0,1.4,-0.020107344097863345,-0.9891924867690101
1.36,0.0,0.69,0.10754670112817645,-0.8721754398377841
1.75,0.81,0.0,0.14187435512266755,-0.4778693924170405
1.21,0.73,0.0,0.21193454500760217,-0.4918629511977922
1.48,0.0,1.5,-0.11114842478172525,-1.0616663963628794
1.21,0.0,1.01,-0.1883567692679245,-1.1204478635317334
1.4,0.0,1.3,-0.05263354104440012,-0.8039615632685762
0.0,0.59,0.85,-0.2760735826681443,-0.6269399500753289
0.0,0.0,0.4,-0.38530594785427397,-0.4016448768826488
0.0,1.61,0.83,-0.13176620975743356,-0.46044821023677507
0.8,0.07,0.0,-0.01448964199939623,-0.4914293469670248
1.63,0.08,0.0,0.19381687914887927,-0.748543520470559
0.0,0.14,0.0,-0.3007598564095267,-0.7629762327274588
0.9,0.0,0.34,-0.22635435456263145,-0.5449213203649933
0.0,0.87,0.03,-0.2665311828419017,-0.6591976363137553
0.0,0.92,0.0,-0.1558292635898457,-0.5157806696092244
0.86,1.61,0.0,-0.020195703095652686,-0.4749727000838433
0.01,0.9,0.0,-0.27720973446873837,-0.38307428559890333
0.53,0.0,0.19,-0.24454985774485716,-0.4333359351896987
0.48,0.0,1.55,-0.2685685188911543,-1.1510804567722606
0.84,0.26,0.0,0.06697212508766558,-0.6507120272354736
0.42,0.0,1.66,-0.20487178554254715,-0.8126227082098583
0.02,0.0,1.55,-0.22623898862431013,-0.7377304583605002
0.0,0.0,0.14,-0.3948582937743246,-0.5912036868139661
0.0,0.0,1.53,-0.34476209964006066,-1.0365658154766206
0.63,0.28,0.0,-0.15391062231166552,-0.32674629737948596
0.57,0.0,0.6,-0.3487748067547565,-0.28501103996638005
0.0,1.59,0.0,0.03480198312272967,-0.33845398510099167
0.0,0.0,1.06,-0.16392211244853694,-0.4490242903557087
0.0,1.27,0.93,-0.19598666513438573,-0.5882032316788759
0.0,0.66,0.67,-0.07006813340724569,-0.9003458332306213
0.0,0.29,0.12,-0.3610461440607425,-0.5740638335574391
1.55,0.0,0.37,-0.17499893505292174,-0.6308226096787819
0.0,0.0,0.06,-0.33599469095622186,-0.8332899184616932
0.0,0.0,1.15,-0.41801356331340433,-0.46761832056265684
0.68,0.0,1.59,-0.15240746124296323,-0.8608662481681107
1.16,0.0,0.0,0.15808070265569446,-0.9476117211785782
1.7,1.47,0.0,0.17115367877222096,-0.39726328897725904
0.25,0.13,0.0,-0.17916089470067662,-0.8077914912302129
0.0,0.0,0.65,-0.2911669692715508,-0.7087793524425045
0.57,0.0,1.36,-0.15630622215686232,-1.042151816505023
0.62,0.15,0.0,-0.15493132327911055,-0.519473381065795
0.0,0.09,1.76,-0.23864121714638503,-0.7782473932772579
0.54,0.0,0.0,-0.23080491675217454,-0.5327778022554126
0.64,1.3,0.0,0.13477835032298194,-0.29595673832278224
0.0,0.17,0.0,-0.23435599193536016,-0.6715834869869981
0.19,0.0,0.0,-0.22574540088907816,-0.5546929322315459
0.0,0.0,1.25,-0.38890734954599604,-0.4450442454523429
0.39,0.09,0.0,-0.17001239229638768,-0.7677592456614442
1.58,1.1,0.0,0.05233636471612355,-0.5426183902711265
0.0,0.49,1.07,-0.39329879513873817,-0.7824182530867088
0.91,1.57,0.0,-0.05594785732489786,-0.17459926314654584
0.0,0.53,0.83,-0.43884914851372947,-0.4260227815952452
0.01,0.0,0.0,-0.3759168635144653,-0.6815676848757064
1.63,0.0,0.11,0.09164236883552908,-1.1278544978135394
0.0,1.52,1.29,-0.3856820776544335,-0.574653460993312
0.71,0.0,1.53,-0.25108334367019647,-1.0301928269385516
0.0,0.41,0.9,-0.33703290207099673,-0.5856269765751952
0.99,0.2,0.0,0.09611704131920974,-0.8021168863198292
0.53,0.59,0.0,-0.023635591030602712,-0.45493325515610866
1.7,0.0,0.33,0.1045835683912989,-1.0295857597776494
0.38,0.0,0.62,-0.2357859931352182,-0.595086057934695
0.0,1.53,0.15,-0.1948966378151107,-0.4456700795581585
0.0,0.51,0.29,-0.40652860037274724,-0.24353182092533104
0.0,0.0,0.64,-0.45348896282986567,-0.23268453809337578
0.0,1.41,0.0,-0.2287249012889987,-0.03367257882603125
